Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS01,462.5625,,0,TSQL,67,67,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
2,GMRS02,462.5875,,0,TSQL,71.9,71.9,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
3,GMRS03,462.6125,,0,TSQL,74.4,74.4,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
4,GMRS04,462.6375,,0,TSQL,77,77,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
5,GMRS05,462.6625,,0,TSQL,79.7,79.7,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
6,GMRS06,462.6875,,0,TSQL,82.5,82.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
7,GMRS07,462.7125,,0,TSQL,85.4,85.4,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
8,GMRS08,467.5625,,0,TSQL,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
9,GMRS09,467.5875,,0,TSQL,91.5,91.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
10,GMRS10,467.6125,,0,TSQL,94.8,94.8,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
11,GMRS11,467.6375,,0,TSQL,97.4,97.4,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
12,GMRS12,467.6625,,0,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
13,GMRS13,467.6875,,0,TSQL,103.5,103.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
14,GMRS14,467.7125,,0,TSQL,107.2,107.2,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
15,GMRS15,462.55,,0,TSQL,110.9,110.9,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
16,GMRS16,462.575,,0,TSQL,114.8,114.8,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
17,GMRS17,462.6,,0,TSQL,118.8,118.8,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
18,GMRS18,462.625,,0,TSQL,123,123,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
19,GMRS19,462.65,,0,TSQL,127.3,127.3,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
20,GMRS20,462.675,,0,TSQL,131.8,131.8,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
21,GMRS21,462.7,,0,TSQL,136.5,136.5,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
22,GMRS22,462.725,,0,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,4.0W,,,,,
